Date, Profit/Losses ,,,,,,,
10-Jan," $1,088,983.00 "," $(1,443,517.00)"," $(8,311.11)",  ," $1,862,002.00 ",7/16/2024," $22,564,198.00 ",86.00
10-Feb," $(354,534.00)"," $631,156.00 ",," $631,156.00 ",,,,
10-Mar," $276,622.00 "," $(1,004,755.00)",,  ,,,,
10-Apr," $(728,133.00)"," $1,581,126.00 ",," $1,581,126.00 ",,,,
10-May," $852,993.00 "," $(289,272.00)",,  ,,,,
10-Jun," $563,721.00 "," $(1,098,929.00)",,  ,,,,
10-Jul," $(535,208.00)"," $1,167,557.00 ",," $1,167,557.00 ",,,,
10-Aug," $632,349.00 "," $(806,093.00)",,  ,,,,
10-Sep," $(173,744.00)"," $1,124,485.00 ",," $1,124,485.00 ",,,,
10-Oct," $950,741.00 "," $(1,736,491.00)",,  ,,,,
10-Nov," $(785,750.00)"," $(408,383.00)",,  ,,,,
10-Dec," $(1,194,133.00)"," $604,557.00 ",," $604,557.00 ",,,,
11-Jan," $(589,576.00)"," $(294,345.00)",,  ,,,,
11-Feb," $(883,921.00)"," $1,327,485.00 ",," $1,327,485.00 ",,,,
11-Mar," $443,564.00 "," $394,323.00 ",," $394,323.00 ",,,,
11-Apr," $837,887.00 "," $243,585.00 ",," $243,585.00 ",,,,
11-May," $1,081,472.00 "," $(617,439.00)",,  ,,,,
11-Jun," $464,033.00 "," $(1,530,577.00)",,  ,,,,
11-Jul," $(1,066,544.00)"," $1,390,390.00 ",," $1,390,390.00 ",,,,
11-Aug," $323,846.00 "," $(1,130,397.00)",,  ,,,,
11-Sep," $(806,551.00)"," $1,293,604.00 ",," $1,293,604.00 ",,,,
11-Oct," $487,053.00 "," $641,758.00 ",," $641,758.00 ",,,,
11-Nov," $1,128,811.00 "," $(337,413.00)",,  ,,,,
11-Dec," $791,398.00 "," $(52,031.00)",,  ,,,,
12-Jan," $739,367.00 "," $(937,192.00)",,  ,,,,
12-Feb," $(197,825.00)"," $863,841.00 ",," $863,841.00 ",,,,
12-Mar," $666,016.00 "," $(76,245.00)",,  ,,,,
12-Apr," $589,771.00 "," $(100,481.00)",,  ,,,,
12-May," $489,290.00 "," $(960,729.00)",,  ,,,,
12-Jun," $(471,439.00)"," $591,856.00 ",," $591,856.00 ",,,,
12-Jul," $120,417.00 "," $54,930.00 ",," $54,930.00 ",,,,
12-Aug," $175,347.00 "," $680,102.00 ",," $680,102.00 ",,,,
12-Sep," $855,449.00 "," $(250,254.00)",,  ,,,,
12-Oct," $605,195.00 "," $(840,415.00)",,  ,,,,
